file_name,shape,color,name,ndc11
20.jpg, ROUND, YELLOW,saxagliptin 2.5 MG Oral Tablet [Onglyza],00003-4214-21
21.jpg, ROUND, PINK,saxagliptin 5 MG Oral Tablet [Onglyza],00003-4215-11
22.jpg, OVAL, YELLOW,24 HR Metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet [Kombiglyze],00003-4222-16
23.jpg, CAPSULE," BLUE, ORANGE",mycophenolate mofetil 250 MG Oral Capsule [Cellcept],00004-0259-01
24.jpg, OVAL, PURPLE,mycophenolate mofetil 500 MG Oral Tablet [Cellcept],00004-0260-01
25.jpg, CAPSULE," WHITE, YELLOW",Oseltamivir 75 MG Oral Capsule [Tamiflu],00004-0800-85
26.jpg, CAPSULE, WHITE,Oseltamivir 45 MG Oral Capsule [Tamiflu],00004-0801-85
27.jpg, CAPSULE, YELLOW,Oseltamivir 30 MG Oral Capsule [Tamiflu],00004-0802-85
28.jpg, OVAL, PINK,capecitabine 500 MG Oral Tablet [Xeloda],00004-1101-50
29.jpg, ROUND, WHITE,Ivermectin 3 MG Oral Tablet [Stromectol],00006-0032-20
30.jpg, OVAL, GREEN,24 HR Metformin hydrochloride 1000 MG / sitagliptin 50 MG Extended Release Oral Tablet [Janumet],00006-0080-61
31.jpg, OVAL, BLUE,24 HR Metformin hydrochloride 1000 MG / sitagliptin 100 MG Extended Release Oral Tablet [Janumet],00006-0081-54
32.jpg, ROUND, BROWN,sitagliptin 50 MG Oral Tablet [Januvia],00006-0112-54
33.jpg, ROUND, PINK,sitagliptin 25 MG Oral Tablet [Januvia],00006-0221-31
34.jpg, OVAL, PINK,raltegravir 400 MG Oral Tablet [Isentress],00006-0227-61
35.jpg, ROUND, BROWN,sitagliptin 100 MG Oral Tablet [Januvia],00006-0277-54
36.jpg, CAPSULE, WHITE,aprepitant 80 MG Oral Capsule [Emend],00006-0461-06
37.jpg, CAPSULE," WHITE, YELLOW",aprepitant 40 MG Oral Capsule [Emend],00006-0464-05
38.jpg, OVAL, PINK,Metformin hydrochloride 500 MG / sitagliptin 50 MG Oral Tablet [Janumet],00006-0575-61
39.jpg, OVAL, RED,Metformin hydrochloride 1000 MG / sitagliptin 50 MG Oral Tablet [Janumet],00006-0577-61
40.jpg, TEAR,GREEN,Hydrochlorothiazide 12.5 MG / Losartan Potassium 50 MG Oral Tablet [Hyzaar],00006-0717-31
41.jpg, TEAR,GREEN,Hydrochlorothiazide 25 MG / Losartan Potassium 100 MG Oral Tablet [Hyzaar],00006-0747-31
42.jpg, OVAL, RED,Simvastatin 40 MG Oral Tablet [Zocor],00006-0749-54
43.jpg, OVAL, WHITE,Losartan Potassium 50 MG Oral Tablet [Cozaar],00006-0952-54
44.jpg, TEAR, WHITE,Losartan Potassium 100 MG Oral Tablet [Cozaar],00006-0960-54
45.jpg, ROUND,GREEN,Carbidopa 25 MG / Levodopa 100 MG Oral Tablet [Sinemet],00006-3916-68
46.jpg, SQUARE, BROWN,montelukast 10 MG Oral Tablet [Singulair],00006-9117-54
47.jpg, TRIANGLE, PINK,-,00007-3148-13
48.jpg, TRIANGLE, RED,glimepiride 4 MG / rosiglitazone 8 MG Oral Tablet [Avandaryl],00007-3149-13
49.jpg, TRIANGLE,BROWN,glimepiride 1 MG / rosiglitazone 4 MG Oral Tablet [Avandaryl],00007-3151-13
50.jpg, OVAL, YELLOW,Metformin hydrochloride 1000 MG / rosiglitazone 2 MG Oral Tablet [Avandamet],00007-3163-18
51.jpg, OVAL, PINK,Metformin hydrochloride 1000 MG / rosiglitazone 4 MG Oral Tablet [Avandamet],00007-3164-18
52.jpg, CAPSULE," WHITE, GREEN",24 HR carvedilol phosphate 10 MG Extended Release Oral Capsule [Coreg],00007-3370-61
53.jpg, CAPSULE," WHITE, YELLOW",24 HR carvedilol phosphate 20 MG Extended Release Oral Capsule [Coreg],00007-3371-61
54.jpg, CAPSULE, WHITE,24 HR carvedilol phosphate 80 MG Extended Release Oral Capsule [Coreg],00007-3373-13
55.jpg, CAPSULE," RED, WHITE",Hydrochlorothiazide 25 MG / Triamterene 37.5 MG Oral Capsule [Dyazide],00007-3650-22
56.jpg, OVAL, WHITE,carvedilol 3.125 MG Oral Tablet [Coreg],00007-4139-20
57.jpg, OVAL, WHITE,carvedilol 6.25 MG Oral Tablet [Coreg],00007-4140-20
58.jpg, OVAL, WHITE,carvedilol 12.5 MG Oral Tablet [Coreg],00007-4141-20
59.jpg, OVAL, WHITE,carvedilol 25 MG Oral Tablet [Coreg],00007-4142-20
60.jpg, CAPSULE, WHITE,Topotecan 0.25 MG Oral Capsule [Hycamtin],00007-4205-11
61.jpg, CAPSULE, PINK,Topotecan 1 MG Oral Capsule [Hycamtin],00007-4207-11
62.jpg, ROUND, RED,Tranylcypromine 10 MG Oral Tablet [Parnate],00007-4471-20
63.jpg, ROUND, ORANGE,eltrombopag 25 MG Oral Tablet [Promacta],00007-4640-13
64.jpg, ROUND, BLUE,eltrombopag 50 MG Oral Tablet [Promacta],00007-4641-13
65.jpg, ROUND, RED,eltrombopag 75 MG Oral Tablet [Promacta],00007-4642-13
66.jpg, OVAL, GREEN,24 HR ropinirole 12 MG Extended Release Oral Tablet [Requip],00007-4882-13
67.jpg, OVAL, WHITE,24 HR ropinirole 6 MG Extended Release Oral Tablet [Requip],00007-4883-13
68.jpg, OVAL, PINK,24 HR ropinirole 2 MG Extended Release Tablet [Requip],00007-4885-61
69.jpg, OVAL, BROWN,24 HR ropinirole 4 MG Extended Release Oral Tablet [Requip],00007-4887-13
70.jpg, OVAL, RED,24 HR ropinirole 8 MG Extended Release Oral Tablet [Requip],00007-4888-13
71.jpg, PENTAGON, WHITE,ropinirole 0.25 MG Oral Tablet [Requip],00007-4890-20
72.jpg, PENTAGON, YELLOW,ropinirole 0.5 MG Oral Tablet [Requip],00007-4891-20
73.jpg, PENTAGON, GREEN,ropinirole 1 MG Oral Tablet [Requip],00007-4892-20
74.jpg, PENTAGON, PINK,ropinirole 2 MG Oral Tablet [Requip],00007-4893-20
75.jpg, PENTAGON, BLUE,ropinirole 5 MG Oral Tablet [Requip],00007-4894-20
76.jpg, PENTAGON, PURPLE,ropinirole 3 MG Oral Tablet [Requip],00007-4895-20
77.jpg, PENTAGON, BROWN,ropinirole 4 MG Oral Tablet [Requip],00007-4896-20
78.jpg, OVAL, YELLOW,pantoprazole 20 MG Delayed Release Oral Tablet,00008-0606-01
79.jpg, OVAL, YELLOW,pantoprazole 40 MG Delayed Release Oral Tablet,00008-0607-01
80.jpg, CAPSULE,PINK,24 HR venlafaxine 75 MG Extended Release Oral Capsule [Effexor],00008-0833-21
81.jpg, CAPSULE, RED,24 HR venlafaxine 150 MG Extended Release Oral Capsule [Effexor],00008-0836-22
82.jpg, CAPSULE," ORANGE, GRAY",24 HR venlafaxine 37.5 MG Extended Release Oral Capsule [Effexor],00008-0837-22
83.jpg, SQUARE,RED,24 HR Desvenlafaxine 100 MG Extended Release Oral Tablet [Pristiq],00008-1222-30
84.jpg, OVAL, ORANGE,Alprazolam 0.5 MG Oral Tablet [Xanax],00009-0055-01
85.jpg, CAPSULE, TURQUOISE,Clindamycin 75 MG Oral Capsule [Cleocin],00009-0331-02
86.jpg, ROUND, WHITE,miglitol 25 MG Oral Tablet [Glyset],00009-5012-01
87.jpg, OVAL, WHITE,linezolid 600 MG Oral Tablet [Zyvox],00009-5135-02
88.jpg, CAPSULE, TURQUOISE,24 HR tolterodine tartrate 2 MG Extended Release Oral Capsule [Detrol],00009-5190-02
89.jpg, CAPSULE, BLUE,24 HR tolterodine tartrate 4 MG Extended Release Oral Capsule [Detrol],00009-5191-02
90.jpg, ROUND, WHITE,exemestane 25 MG Oral Tablet [Aromasin],00009-7663-04
91.jpg, CAPSULE, RED,Rifabutin 150 MG Oral Capsule [Mycobutin],00013-5301-17
92.jpg, CAPSULE," ORANGE, WHITE",24 HR trospium chloride 60 MG Extended Release Capsule [Sanctura],00023-9350-07
93.jpg, ROUND, YELLOW,24 HR Alfuzosin hydrochloride 10 MG Extended Release Oral Tablet [UroXatral],00024-4200-10
94.jpg, ROUND, PINK,Zolpidem tartrate 6.25 MG Extended Release Oral Tablet [Ambien],00024-5501-31
95.jpg, ROUND, BLUE,Zolpidem tartrate 12.5 MG Extended Release Oral Tablet [Ambien],00024-5521-31
96.jpg, OVAL, WHITE,levocetirizine dihydrochloride 5 MG Oral Tablet [Xyzal],00024-5800-90
97.jpg, OVAL, BROWN,Hydrochlorothiazide 50 MG / Spironolactone 50 MG Oral Tablet [Aldactazide],00025-1021-31
98.jpg, OVAL, WHITE,oxaprozin 600 MG Oral Tablet [Daypro],00025-1381-31
99.jpg, ROUND, WHITE,Diclofenac Sodium 50 MG / Misoprostol 0.2 MG Oral Tablet [Arthrotec],00025-1411-60
100.jpg, ROUND, WHITE,Diclofenac Sodium 75 MG / Misoprostol 0.2 MG Oral Tablet [Arthrotec],00025-1421-60
101.jpg, CAPSULE," WHITE, BLUE",celecoxib 100 MG Oral Capsule [Celebrex],00025-1520-31
102.jpg, CAPSULE," WHITE, YELLOW",celecoxib 200 MG Oral Capsule [Celebrex],00025-1525-31
103.jpg, OVAL, GREEN,Verapamil hydrochloride 240 MG Extended Release Oral Tablet [Calan],00025-1891-51
104.jpg, PENTAGON, PINK,rosiglitazone 2 MG Oral Tablet [Avandia],00029-3158-18
105.jpg, PENTAGON, ORANGE,rosiglitazone 4 MG Oral Tablet [Avandia],00029-3159-13
106.jpg, PENTAGON, RED,rosiglitazone 8 MG Oral Tablet [Avandia],00029-3160-13
107.jpg, CAPSULE," BLUE, RED",Amylases 30000 UNT / Endopeptidases 19000 UNT / Lipase 6000 UNT Delayed Release Oral Capsule [Creon],00032-1206-01
108.jpg, CAPSULE, BROWN,Amylases 60000 UNT / Endopeptidases 38000 UNT / Lipase 12000 UNT Delayed Release Oral Capsule [Creon],00032-1212-01
109.jpg, CAPSULE," ORANGE, WHITE",Amylases 120000 UNT / Endopeptidases 76000 UNT / Lipase 24000 UNT Delayed Release Oral Capsule [Creon],00032-1224-07
110.jpg, ROUND, ORANGE,Progesterone 100 MG Oral Capsule [Prometrium],00032-1708-01
111.jpg, CAPSULE," BLUE, BROWN",Amylases 180000 UNT / Endopeptidases 114000 UNT / Lipase 36000 UNT Delayed Release Oral Capsule [Creon],00032-3016-28
112.jpg, ROUND, WHITE,Carisoprodol 250 MG Oral Tablet [Soma],00037-2250-10
113.jpg, ROUND, WHITE,Furosemide 40 MG Oral Tablet [Lasix],00039-0060-13
114.jpg, OVAL, WHITE,Furosemide 20 MG Oral Tablet [Lasix],00039-0067-10
115.jpg, OVAL, YELLOW,-,00045-0650-60
116.jpg, OVAL, GREEN,"Estrogens, Conjugated (USP) 0.3 MG Oral Tablet [Premarin]",00046-1100-81
117.jpg, OVAL, BLUE,"Estrogens, Conjugated (USP) 0.45 MG Oral Tablet [Premarin]",00046-1101-81
118.jpg, OVAL,RED,"Estrogens, Conjugated (USP) 0.625 MG Oral Tablet [Premarin]",00046-1102-81
119.jpg, OVAL, WHITE,"Estrogens, Conjugated (USP) 0.9 MG Oral Tablet [Premarin]",00046-1103-81
120.jpg, OVAL, YELLOW,"Estrogens, Conjugated (USP) 1.25 MG Oral Tablet [Premarin]",00046-1104-81
121.jpg, ROUND, ORANGE,eletriptan 20 MG Oral Tablet [Relpax],00049-2330-45
122.jpg, ROUND, ORANGE,eletriptan 40 MG Oral Tablet [Relpax],00049-2340-05
123.jpg, CAPSULE," BLUE, WHITE",ziprasidone 20 MG Oral Capsule [Geodon],00049-3960-60
124.jpg, CAPSULE, BLUE,ziprasidone 40 MG Oral Capsule [Geodon],00049-3970-60
125.jpg, CAPSULE, WHITE,ziprasidone 60 MG Oral Capsule [Geodon],00049-3980-60
126.jpg, CAPSULE," BLUE, WHITE",ziprasidone 80 MG Oral Capsule [Geodon],00049-3990-60
127.jpg, OVAL, BLUE,Sertraline 50 MG Oral Tablet [Zoloft],00049-4900-30
128.jpg, OVAL, YELLOW,Sertraline 100 MG Oral Tablet [Zoloft],00049-4910-30
129.jpg, OVAL, YELLOW,Calcitriol 0.00025 MG Oral Capsule,00054-0007-25
130.jpg, ROUND, WHITE,Flecainide Acetate 100 MG Oral Tablet,00054-0011-21
131.jpg, ROUND, WHITE,Prednisone 10 MG Oral Tablet,00054-0017-25
132.jpg, ROUND, WHITE,Prednisone 20 MG Oral Tablet,00054-0018-29
133.jpg, ROUND, WHITE,Prednisone 50 MG Oral Tablet,00054-0019-25
134.jpg, ROUND, WHITE,Lithium Carbonate 450 MG Extended Release Oral Tablet,00054-0020-25
135.jpg, ROUND, BROWN,Lithium Carbonate 300 MG Extended Release Oral Tablet,00054-0021-25
136.jpg, ROUND, WHITE,cilostazol 50 MG Oral Tablet,00054-0028-21
137.jpg, ROUND, WHITE,Clarithromycin 250 MG Oral Tablet,00054-0036-21
138.jpg, OVAL, WHITE,Clarithromycin 500 MG Oral Tablet,00054-0037-21
139.jpg, ROUND, WHITE,cilostazol 100 MG Oral Tablet,00054-0044-21
140.jpg, ROUND, WHITE,torsemide 20 MG Oral Tablet,00054-0077-25
141.jpg, CAPSULE, ORANGE,Balsalazide disodium 750 MG Oral Capsule,00054-0079-28
142.jpg, ROUND, ORANGE,oxcarbazepine 150 MG Oral Tablet,00054-0097-25
143.jpg, ROUND, ORANGE,oxcarbazepine 300 MG Oral Tablet,00054-0098-25
144.jpg, OVAL, PINK,oxcarbazepine 600 MG Oral Tablet,00054-0099-25
145.jpg, CAPSULE, ORANGE,Ramipril 2.5 MG Oral Capsule,00054-0107-29
146.jpg, CAPSULE, RED,Ramipril 5 MG Oral Capsule,00054-0108-29
147.jpg, CAPSULE, BLUE,Ramipril 10 MG Oral Capsule,00054-0109-25
148.jpg, ROUND, WHITE,Perindopril Erbumine 4 MG Oral Tablet,00054-0111-25
149.jpg, ROUND, WHITE,Perindopril Erbumine 8 MG Oral Tablet,00054-0112-25
150.jpg, ROUND, WHITE,Acarbose 25 MG Oral Tablet,00054-0140-25
151.jpg, CAPSULE," BLUE, ORANGE",mycophenolate mofetil 250 MG Oral Capsule,00054-0163-29
152.jpg, OVAL, WHITE,mycophenolate mofetil 500 MG Oral Tablet,00054-0166-25
153.jpg, OVAL, WHITE,famciclovir 500 MG Oral Tablet,00054-0198-13
154.jpg, ROUND, WHITE,quetiapine 25 MG Oral Tablet,00054-0220-25
155.jpg, ROUND, WHITE,quetiapine 100 MG Oral Tablet,00054-0221-25
156.jpg, ROUND, WHITE,quetiapine 200 MG Oral Tablet,00054-0222-25
157.jpg, OVAL, WHITE,quetiapine 300 MG Oral Tablet,00054-0223-21
158.jpg, OVAL, WHITE,quetiapine 50 MG Oral Tablet,00054-0229-25
159.jpg, OVAL, WHITE,quetiapine 400 MG Oral Tablet,00054-0230-25
160.jpg, ROUND, RED,Hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet,00054-0254-22
161.jpg, OVAL,WHITE,Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet,00054-0255-22
162.jpg, ROUND, WHITE,letrozole 2.5 MG Oral Tablet,00054-0269-13
163.jpg, ROUND, WHITE,naratriptan 2.5 MG Oral Tablet,00054-0279-03
164.jpg, ROUND, PINK,montelukast 5 MG Chewable Tablet,00054-0289-13
165.jpg, CAPSULE, WHITE,cevimeline 30 MG Oral Capsule,00054-0334-25
166.jpg, OVAL, WHITE,Tinidazole 500 MG Oral Tablet,00054-0348-07
167.jpg, OVAL," WHITE, PINK",Hydrochlorothiazide 12.5 MG / telmisartan 40 MG Oral Tablet,00054-0545-18
168.jpg, CAPSULE," WHITE, PINK",Lithium Carbonate 600 MG Oral Capsule,00054-2531-25
169.jpg, ROUND, BLUE,Cyclophosphamide 50 MG Oral Tablet,00054-4130-25
170.jpg, ROUND, YELLOW,Dexamethasone 0.5 MG Oral Tablet,00054-4179-25
171.jpg, ROUND, PINK,Dexamethasone 1.5 MG Oral Tablet,00054-4182-25
172.jpg, ROUND, WHITE,Dexamethasone 2 MG Oral Tablet,00054-4183-25
173.jpg, ROUND, GREEN,Dexamethasone 4 MG Oral Tablet,00054-4184-25
174.jpg, ROUND, TURQUOISE,Dexamethasone 6 MG Oral Tablet,00054-4186-25
175.jpg, ROUND, WHITE,Furosemide 20 MG Oral Tablet,00054-4297-25
176.jpg, ROUND, WHITE,Furosemide 40 MG Oral Tablet,00054-4299-25
177.jpg, ROUND, WHITE,Leucovorin 5 MG Oral Tablet,00054-4496-25
178.jpg, ROUND, WHITE,Lithium Carbonate 300 MG Oral Tablet,00054-4527-25
179.jpg, ROUND, YELLOW,Methotrexate 2.5 MG Oral Tablet,00054-4550-25
180.jpg, ROUND, YELLOW,mercaptopurine 50 MG Oral Tablet,00054-4581-11
181.jpg, ROUND, WHITE,Prednisone 5 MG Oral Tablet,00054-4728-25
182.jpg, ROUND, WHITE,Prednisone 1 MG Oral Tablet,00054-4741-25
183.jpg, ROUND, WHITE,Prednisone 2.5 MG Oral Tablet,00054-4742-25
184.jpg, ROUND, WHITE,Prednisone 2.5 MG Oral Tablet,00054-8740-25
185.jpg, ROUND, BLUE,Warfarin Sodium 4 MG Oral Tablet [Coumadin],00056-0168-70
186.jpg, ROUND, PINK,Warfarin Sodium 1 MG Oral Tablet [Coumadin],00056-0169-70
187.jpg, ROUND, PURPLE,Warfarin Sodium 2 MG Oral Tablet [Coumadin],00056-0170-70
188.jpg, ROUND, ORANGE,Warfarin Sodium 5 MG Oral Tablet [Coumadin],00056-0172-70
189.jpg, ROUND, YELLOW,Warfarin Sodium 7.5 MG Oral Tablet [Coumadin],00056-0173-70
190.jpg, ROUND, GREEN,Warfarin Sodium 2.5 MG Oral Tablet [Coumadin],00056-0176-70
191.jpg, ROUND, BROWN,Warfarin Sodium 3 MG Oral Tablet [Coumadin],00056-0188-70
192.jpg, OVAL, YELLOW,efavirenz 600 MG Oral Tablet [Sustiva],00056-0510-30
193.jpg, ROUND, ORANGE,Carbidopa 25 MG Oral Tablet [Lodosyn],00056-0511-68
194.jpg, ROUND, WHITE,Griseofulvin 500 MG Oral Tablet [Grifulvin V],00062-0214-60
195.jpg, ROUND, WHITE,almotriptan 12.5 MG Oral Tablet [Axert],00062-2085-12
196.jpg, ROUND, WHITE,Amlodipine 10 MG Oral Tablet [Norvasc],00069-1540-68
197.jpg, OVAL, BLUE,Amlodipine 10 MG / atorvastatin 20 MG Oral Tablet [Caduet],00069-2180-30
198.jpg, OVAL, ORANGE,Nifedipine 10 MG Oral Capsule [Procardia],00069-2600-66
199.jpg, DIAMOND, BLUE,sildenafil 25 MG Oral Tablet [Viagra],00069-4200-30
200.jpg, DIAMOND, BLUE,sildenafil 50 MG Oral Tablet [Viagra],00069-4210-30
201.jpg, DIAMOND, BLUE,sildenafil 100 MG Oral Tablet [Viagra],00069-4220-30
202.jpg, CAPSULE, ORANGE,dofetilide 0.25 MG Oral Capsule [Tikosyn],00069-5810-60
203.jpg, OVAL, WHITE,atorvastatin 10 MG Oral Tablet [Lipitor],00071-0155-23
204.jpg, OVAL, WHITE,atorvastatin 20 MG Oral Tablet [Lipitor],00071-0156-23
205.jpg, OVAL, WHITE,atorvastatin 40 MG Oral Tablet [Lipitor],00071-0157-23
206.jpg, OVAL, WHITE,atorvastatin 80 MG Oral Tablet [Lipitor],00071-0158-23
207.jpg, CAPSULE," ORANGE, WHITE",Phenytoin sodium 100 MG Extended Release Oral Capsule [Dilantin],00071-0369-24
208.jpg, ROUND, WHITE,Nitroglycerin 0.3 MG Sublingual Tablet [Nitrostat],00071-0417-24
209.jpg, ROUND, WHITE,Nitroglycerin 0.4 MG Sublingual Tablet [Nitrostat],00071-0418-24
210.jpg, ROUND, WHITE,Nitroglycerin 0.6 MG Sublingual Tablet [Nitrostat],00071-0419-24
211.jpg, CAPSULE, WHITE,pregabalin 25 MG Oral Capsule [Lyrica],00071-1012-68
212.jpg, CAPSULE," WHITE, BLACK",pregabalin 50 MG Oral Capsule [Lyrica],00071-1013-68
213.jpg, CAPSULE," WHITE, ORANGE",pregabalin 75 MG Oral Capsule [Lyrica],00071-1014-68
214.jpg, CAPSULE, ORANGE,pregabalin 100 MG Oral Capsule [Lyrica],00071-1015-68
215.jpg, CAPSULE, WHITE,pregabalin 150 MG Oral Capsule [Lyrica],00071-1016-68
216.jpg, CAPSULE, ORANGE,pregabalin 200 MG Oral Capsule [Lyrica],00071-1017-68
217.jpg, CAPSULE," ORANGE, WHITE",pregabalin 300 MG Oral Capsule [Lyrica],00071-1018-68
218.jpg, CAPSULE," ORANGE, WHITE",pregabalin 225 MG Oral Capsule [Lyrica],00071-1019-68
219.jpg, CAPSULE," WHITE, PINK",Phenytoin sodium 30 MG Extended Release Oral Capsule [Dilantin],00071-3740-66
220.jpg, OVAL, WHITE,Acetaminophen 750 MG / Hydrocodone Bitartrate 7.5 MG Oral Tablet [Vicodin],00074-1973-54
221.jpg, OVAL, YELLOW,Clarithromycin 500 MG Oral Tablet [Biaxin],00074-2586-60
222.jpg, OVAL, PINK,Erythromycin Ethylsuccinate 400 MG Oral Tablet,00074-2589-13
223.jpg, OVAL, RED,eprosartan 600 MG / Hydrochlorothiazide 25 MG Oral Tablet [Teveten HCT],00074-3020-11
224.jpg, OVAL, WHITE,eprosartan 600 MG Oral Tablet [Teveten],00074-3040-11
225.jpg, OVAL, WHITE,24 HR Diltiazem Hydrochloride 120 MG Extended Release Oral Tablet [Cardizem],00074-3045-90
226.jpg, OVAL, WHITE,24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Tablet [Cardizem],00074-3061-90
227.jpg, OVAL, WHITE,24 HR Diltiazem Hydrochloride 360 MG Extended Release Oral Tablet [Cardizem],00074-3064-30
228.jpg, OVAL, ORANGE,24 HR Niacin 500 MG Extended Release Oral Tablet [Niaspan],00074-3074-90
229.jpg, OVAL, ORANGE,24 HR Niacin 1000 MG Extended Release Oral Tablet [Niaspan],00074-3080-90
230.jpg, OVAL, RED,24 HR trandolapril 4 MG / Verapamil hydrochloride 240 MG Extended Release Oral Tablet [Tarka],00074-3290-13
231.jpg, OVAL, BLUE,24 HR Niacin 500 MG / Simvastatin 20 MG Extended Release Oral Tablet [Simcor],00074-3312-90
232.jpg, OVAL, BLUE,24 HR Niacin 1000 MG / Simvastatin 20 MG Extended Release Oral Tablet [Simcor],00074-3455-90
233.jpg, ROUND, BLUE,Levothyroxine Sodium 0.137 MG Oral Tablet [Synthroid],00074-3727-90
234.jpg, ROUND, ORANGE,Levothyroxine Sodium 0.025 MG Oral Tablet [Synthroid],00074-4341-13
235.jpg, ROUND, WHITE,Levothyroxine Sodium 0.05 MG Oral Tablet [Synthroid],00074-4552-90
236.jpg, ROUND, PURPLE,Levothyroxine Sodium 0.075 MG Oral Tablet [Synthroid],00074-5182-19
237.jpg, OVAL, YELLOW,Fenofibrate 48 MG Oral Tablet [Tricor],00074-6122-90
238.jpg, OVAL, WHITE,Fenofibrate 145 MG Oral Tablet [Tricor],00074-6123-90
239.jpg, OVAL, ORANGE,Divalproex Sodium 250 MG Delayed Release Oral Tablet [Depakote],00074-6214-13
240.jpg, OVAL, PURPLE,Divalproex Sodium 500 MG Delayed Release Oral Tablet [Depakote],00074-6215-13
241.jpg, OVAL, WHITE,Erythromycin 250 MG Enteric Coated Tablet [Ery-Tab],00074-6304-13
242.jpg, OVAL, WHITE,Erythromycin 333 MG Enteric Coated Tablet [Ery-Tab],00074-6320-13
243.jpg, OVAL, PINK,Erythromycin 250 MG Oral Tablet,00074-6326-13
244.jpg, ROUND, GREEN,Levothyroxine Sodium 0.088 MG Oral Tablet [Synthroid],00074-6594-90
245.jpg, ROUND, YELLOW,Levothyroxine Sodium 0.1 MG Oral Tablet [Synthroid],00074-6624-19
246.jpg, ROUND, BROWN,Levothyroxine Sodium 0.125 MG Oral Tablet [Synthroid],00074-7068-19
247.jpg, ROUND, BLUE,Levothyroxine Sodium 0.15 MG Oral Tablet [Synthroid],00074-7069-90
248.jpg, ROUND, PURPLE,Levothyroxine Sodium 0.175 MG Oral Tablet [Synthroid],00074-7070-90
249.jpg, OVAL, GRAY,24 HR Divalproex Sodium 500 MG Extended Release Oral Tablet [Depakote],00074-7126-13
250.jpg, ROUND, PINK,Levothyroxine Sodium 0.2 MG Oral Tablet [Synthroid],00074-7148-19
251.jpg, ROUND, GREEN,Levothyroxine Sodium 0.3 MG Oral Tablet [Synthroid],00074-7149-90
252.jpg, OVAL, YELLOW,Potassium Chloride 10 MEQ Extended Release Oral Tablet [K-Tab],00074-7804-13
253.jpg, CAPSULE," BLUE, YELLOW",fenofibric acid 135 MG Delayed Release Oral Capsule [Trilipix],00074-9189-90
254.jpg, ROUND, PURPLE,Levothyroxine Sodium 0.112 MG Oral Tablet [Synthroid],00074-9296-90
255.jpg, CAPSULE," RED, YELLOW",fenofibric acid 45 MG Delayed Release Oral Capsule [Trilipix],00074-9642-90
256.jpg, OVAL, WHITE,Riluzole 50 MG Oral Tablet [Rilutek],00075-7700-60
257.jpg, CAPSULE, PURPLE,"Hyoscyamine Sulfate 0.12 MG / Methenamine 118 MG / Methylene blue 10 MG / phenyl salicylate 36 MG / Sodium Phosphate, Monobasic 40.8 MG Oral Capsule [Uribel]",00076-0111-01
258.jpg, ROUND, BLUE,Benzoic Acid 9 MG / Hyoscyamine Sulfate 0.12 MG / Methenamine 81.6 MG / Methylene blue 10.8 MG / phenyl salicylate 36.2 MG Oral Tablet [Hyophen],00076-0901-01
259.jpg, ROUND, PINK,Methylergonovine Maleate 0.2 MG Oral Tablet [Methergine],00078-0054-05
260.jpg, CAPSULE," BROWN, WHITE",fluvastatin 20 MG Oral Capsule [Lescol],00078-0176-15
